Product	water	lipid	TVBN	TMA	salt	phenol	pH	total viable count	lactic flora	lactobacilli	brochothrix	yeast	enterobacteriaceae	L	a	b	origin
prod1_Fr	-0,8644	1,1375	-0,7629	-0,8717	-0,1471	-0,3776	1,5412	0,1112	0,6665	1,1382	0,5461	0,7729	0,8314	0,9917	-0,6467	-0,4567	France
prod2_Fr	-1,1476	0,7036	0,2357	0,3204	0,1626	0,0112	1,2098	0,4302	-0,4514	0,129	-0,7559	1,2034	0,5998	0,8542	0,5297	0,9551	France
prod3_Fr	-0,4172	0,3378	0,4354	1,2144	0,3174	0,4001	0,3812	0,8225	0,8725	0,4088	0,6465	0,2875	0,2524	-0,8548	0,3927	0,2813	France
prod4_Scot	-0,8147	-0,0961	-0,5632	-0,8717	0,3174	-0,4554	0,2154	-0,2432	-1,5861	-1,0624	-0,7559	-1,034	-1,5793	0,302	1,7439	3,3236	Scotland
prod5_Ger	-1,6991	0,0366	-0,7629	-0,8717	2,1752	-0,3776	-0,2817	-1,5584	-1,5861	-1,0624	-0,7559	-1,034	-0,9582	-1,3485	0,7341	0,5485	Germany
prod6_Ire	-0,9886	0,9653	-0,7629	-0,8717	0,0077	0,6594	1,0441	-2,5977	-1,5861	-1,0624	-0,7559	-1,034	-1,5793	-0,4322	0,4016	0,4278	Ireland
prod7_Ire	-1,5848	1,2809	-0,3635	-0,8717	0,0077	-0,1702	0,8783	-0,9336	-0,0449	0,3686	-0,7559	-1,034	-0,6424	-0,4737	1,2366	1,6822	Ireland
prod8_Ger	0,338	0,094	-0,9626	-0,5737	-2,0049	1,126	-1,1104	-0,2561	0,4294	0,6069	-0,7559	0,4282	-0,6634	-1,0916	0,6655	0,9331	Germany
prod9_Ire	1,9081	-0,2969	-1,1623	-0,8717	1,4011	1,4631	0,5469	-1,1271	-1,5861	-1,0624	-0,7559	-1,034	-0,5266	0,055	-0,3624	-0,6856	Ireland
prod10_It	0,1095	-2,1795	0,8348	0,0224	0,9366	0,9964	0,3812	0,2176	1,5327	1,9639	1,9004	0,7852	0,8372	-1,8353	-1,0433	-0,513	Italy
prod11_Fr	1,4659	-1,283	-0,7629	-0,2757	-0,4567	-0,935	-1,7733	0,8505	0,5524	0,9344	-0,7559	2,1072	1,4683	0,2448	-0,5423	-0,0307	France
prod12_Dk	1,3615	-0,3005	-0,7629	-0,5737	-0,3793	0,3223	0,8783	0,3222	0,8725	1,2442	-0,7559	1,2038	0,0419	0,3527	-0,4328	-1,5026	DK
prod13_Ger	0,1939	-0,3722	0,2357	0,6184	-0,7663	-1,1036	0,5469	0,8076	0,0282	-1,0624	0,9831	-1,034	0,9735	0,5279	0,4921	0,2601	Germany
prod14_Ger	-0,1787	1,6072	-1,1623	-0,8717	0,3174	-0,4554	-0,9446	-0,8553	-0,4082	-1,0624	-0,7559	-1,034	-0,9582	1,3714	-0,0805	-0,6433	Germany
prod15_Fr	0,3976	0,5135	-0,9626	-0,7346	0,3948	-0,5591	-0,2817	-0,1907	-0,2986	-1,0624	-0,7559	-1,034	1,0419	0,9614	-0,2456	-0,7466	France
prod16_Ger	1,5752	-0,9711	-0,7629	-0,2757	0,1626	-0,598	-0,2817	-0,2814	0,5306	-1,0624	-0,7559	0,498	0,0419	0,3384	0,2588	-0,5323	Germany
